-cornerpoints-
nrcorners 981
589 0.000346154 0.00297297
590 0.000423077 0.00297297
591 0.0005 0.00297297
592 0.000576923 0.00297297
593 0.000653846 0.00297297
594 0.000730769 0.00297297
595 0.000807692 0.00297297
596 0.000884615 0.00297297
597 0.000961538 0.00297297
598 0.00103846 0.00297297
599 0.00111538 0.00297297
600 0.00119231 0.00297297
601 0.00126923 0.00297297
602 0.00134615 0.00297297
603 0.00142308 0.00297297
604 0.0015 0.00297297
605 0.00157692 0.00297297
606 0.00165385 0.00297297
607 0.00173077 0.00297297
608 0.00180769 0.00297297
609 0.00188462 0.00297297
610 0.00196154 0.00297297
611 3.84615e-005 0.00310811
612 0.000115385 0.00310811
613 0.000192308 0.00310811
614 0.000269231 0.00310811
615 0.000346154 0.00310811
616 0.000423077 0.00310811
617 0.0005 0.00310811
618 0.000576923 0.00310811
619 0.000653846 0.00310811
620 0.000730769 0.00310811
621 0.000807692 0.00310811
622 0.000884615 0.00310811
623 0.000961538 0.00310811
624 0.00103846 0.00310811
625 0.00111538 0.00310811
626 0.00119231 0.00310811
627 0.00126923 0.00310811
628 0.00134615 0.00310811
629 0.00142308 0.00310811
630 0.0015 0.00310811
631 0.00157692 0.00310811
632 0.00165385 0.00310811
633 0.00173077 0.00310811
634 0.00180769 0.00310811
635 0.00188462 0.00310811
636 0.00196154 0.00310811
637 0 0.00324324
638 7.69231e-005 0.00324324
639 0.000153846 0.00324324
640 0.000230769 0.00324324
641 0.000307692 0.00324324
642 0.000384615 0.00324324
643 0.000461538 0.00324324
644 0.000538462 0.00324324
645 0.000615385 0.00324324
646 0.000692308 0.00324324
647 0.000769231 0.00324324
648 0.000846154 0.00324324
649 0.000923077 0.00324324
650 0.001 0.00324324
651 0.00107692 0.00324324
652 0.00115385 0.00324324
653 0.00123077 0.00324324
654 0.00130769 0.00324324
655 0.00138462 0.00324324
656 0.00146154 0.00324324
657 0.00153846 0.00324324
658 0.00161538 0.00324324
659 0.00169231 0.00324324
660 0.00176923 0.00324324
661 0.00184615 0.00324324
662 0.00192308 0.00324324
663 0.002 0.00324324
664 0 0.00337838
665 7.69231e-005 0.00337838
666 0.000153846 0.00337838
667 0.000230769 0.00337838
668 0.000307692 0.00337838
